,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,punta arenas,40,CL,1579368191,48,-53.15,-70.92,60.8,31.09
1,clyde river,20,CA,1579368378,73,70.47,-68.59,-31.0,10.29
2,rikitea,27,PF,1579368378,80,-23.12,-134.97,78.15,13.94
3,kathmandu,20,NP,1579368328,87,27.72,85.32,46.4,4.7
4,narsaq,75,GL,1579368379,54,60.92,-46.05,28.4,46.08
5,port alfred,100,ZA,1579368379,86,-33.59,26.89,66.99,4.0
6,okhotsk,0,RU,1579368379,71,59.38,143.3,-21.1,8.28
7,les escoumins,100,CA,1579368379,97,48.11,-69.02,-3.15,5.82
8,airai,100,TL,1579368379,86,-8.93,125.41,67.35,5.08
9,innisfail,34,AU,1579368379,93,-17.53,146.03,76.39,3.6
10,lyaskelya,100,RU,1579368379,97,61.77,31.02,33.06,7.2
11,vaini,90,TO,1579368379,88,-21.2,-175.2,78.8,23.04
12,jamestown,90,US,1579368379,85,42.1,-79.24,30.99,18.34
13,dingle,0,PH,1579368379,89,11.0,122.67,74.28,8.05
14,chuy,0,UY,1579368379,37,-33.7,-53.46,78.93,5.23
15,cape coast,0,GH,1579368379,82,5.11,-1.25,82.06,13.0
16,port lincoln,94,AU,1579368379,80,-34.73,135.87,61.52,14.54
17,bredasdorp,99,ZA,1579368379,82,-34.53,20.04,60.8,8.05
18,venado tuerto,3,AR,1579368379,44,-33.75,-61.97,84.0,8.01
19,kindu,99,CD,1579368379,99,-2.95,25.95,70.32,2.55
20,flin flon,90,CA,1579368379,77,54.77,-101.86,-0.4,11.41
21,khatanga,100,RU,1579368379,95,71.97,102.5,-20.81,7.94
22,goderich,100,CA,1579368379,89,43.75,-81.72,30.0,23.0
23,severo-kurilsk,83,RU,1579368379,90,50.68,156.12,15.31,14.36
24,bluff,82,NZ,1579368379,94,-46.6,168.33,57.99,1.01
25,bhatkal,0,IN,1579368203,76,13.97,74.57,76.19,5.79
26,faanui,89,PF,1579368379,78,-16.48,-151.75,81.64,15.61
27,saint george,1,US,1579368089,55,37.1,-113.58,42.8,5.82
28,serebryansk,90,KZ,1579368379,79,49.69,83.29,21.2,8.95
29,praya,9,CV,1579368379,45,14.92,-23.51,82.4,13.87
30,kurchum,100,KZ,1579368380,93,48.57,83.65,14.74,2.37
31,tasiilaq,100,GL,1579368380,85,65.61,-37.64,23.0,26.4
32,longyearbyen,75,SJ,1579368348,73,78.22,15.64,24.8,27.51
33,rawson,0,AR,1579368269,72,-43.3,-65.1,60.78,16.4
34,new norfolk,90,AU,1579368380,71,-42.78,147.06,55.4,1.81
35,mataura,81,NZ,1579368380,94,-46.19,168.86,57.99,1.01
36,victoria,40,HK,1579368250,72,22.29,114.16,66.2,8.05
37,puerto ayora,40,EC,1579368380,70,-0.74,-90.35,84.2,5.82
38,tenosique,40,MX,1579368380,83,17.48,-91.43,78.8,8.05
39,beloha,0,MG,1579368380,90,-25.17,45.05,73.4,4.61
40,morehead,90,US,1579368380,81,37.27,-87.18,55.0,16.11
41,yuksekova,90,TR,1579368380,92,37.57,44.29,28.4,4.7
42,marsa matruh,40,EG,1579368380,71,31.35,27.25,55.4,8.05
43,ushuaia,75,AR,1579368228,66,-54.8,-68.3,53.6,19.46
44,luanda,20,AO,1579368380,70,-8.84,13.23,86.0,9.17
45,ahipara,0,NZ,1579368380,100,-35.17,173.17,57.0,10.25
46,aginskoye,14,RU,1579368380,84,51.1,114.53,-5.26,1.25
47,vila velha,75,BR,1579368343,61,-20.33,-40.29,82.4,14.99
48,coquimbo,75,CL,1579368380,77,-29.95,-71.34,78.01,11.41
49,thinadhoo,85,MV,1579368380,78,0.53,72.93,83.46,13.44
50,saint-philippe,100,RE,1579368380,78,-21.36,55.77,82.4,4.7
51,vardo,3,NO,1579368381,76,70.37,31.11,24.28,10.76
52,thompson,90,CA,1579368381,76,55.74,-97.86,-5.8,16.11
53,hay river,20,CA,1579368381,74,60.82,-115.8,-25.6,5.82
54,hermanus,98,ZA,1579368381,91,-34.42,19.23,66.0,5.99
55,vedeno,90,RU,1579368381,92,42.97,46.09,35.6,0.54
56,hirara,93,JP,1579368381,72,24.8,125.28,62.02,12.48
57,rivadavia,24,AR,1579368381,40,-33.19,-68.46,86.0,5.82
58,camacupa,100,AO,1579368381,90,-12.02,17.48,65.97,4.68
59,ketchikan,90,US,1579368094,74,55.34,-131.65,33.8,23.04
60,avarua,100,CK,1579368381,88,-21.21,-159.78,80.6,10.29
61,gaur,7,NP,1579368381,73,26.77,85.27,59.59,5.48
62,hambantota,68,LK,1579368381,78,6.12,81.12,80.22,19.84
63,busselton,0,AU,1579368381,36,-33.65,115.33,62.01,16.33
64,qaanaaq,71,GL,1579368381,67,77.48,-69.36,-16.33,6.04
65,haselunne,37,DE,1579368381,86,52.67,7.48,39.99,4.7
66,luderitz,0,NA,1579368381,87,-26.65,15.16,63.12,27.65
67,pangoa,100,PE,1579368382,98,-12.12,-73.0,70.68,1.81
68,atar,71,MR,1579368382,14,20.52,-13.05,74.21,17.2
69,bismil,90,TR,1579368382,93,37.85,40.67,44.6,1.12
70,oranjemund,66,NA,1579368382,84,-28.55,16.43,64.09,13.0
71,barcelos,40,PT,1579368382,82,41.54,-8.62,57.2,10.29
72,provideniya,82,RU,1579368382,92,64.38,-173.3,-4.47,8.03
73,barrow,90,US,1579368382,92,71.29,-156.79,12.2,11.41
74,la primavera,12,CO,1579368383,44,5.49,-70.41,93.69,10.25
75,cloquet,90,US,1579368383,86,46.72,-92.46,27.0,6.93
76,georgetown,20,MY,1579368376,83,5.41,100.34,82.4,3.36
77,coihaique,20,CL,1579368383,37,-45.58,-72.07,71.6,4.7
78,hualmay,30,PE,1579368383,61,-11.1,-77.61,77.68,10.74
79,ovsyanka,40,RU,1579368383,65,55.96,92.55,5.0,13.42
80,souillac,40,MU,1579368384,88,-20.52,57.52,81.0,8.05
81,beckley,90,US,1579368384,44,37.78,-81.19,51.8,10.29
82,lagoa,0,PT,1579368384,90,39.05,-27.98,63.82,16.22
83,yellowknife,20,CA,1579368384,73,62.46,-114.35,-36.4,2.24
84,butaritari,100,KI,1579368384,76,3.07,172.79,84.51,14.0
85,buala,18,SB,1579368384,83,-8.14,159.59,78.84,7.2
86,waipawa,98,NZ,1579368384,100,-41.41,175.52,57.99,12.75
87,cabedelo,75,BR,1579368372,55,-6.98,-34.83,89.6,16.11
88,albany,90,US,1579368384,47,42.6,-73.97,21.99,7.07
89,sao filipe,0,CV,1579368384,66,14.9,-24.5,73.26,10.27
90,antalaha,100,MG,1579368384,79,-14.9,50.28,83.26,11.81
91,kenai,1,US,1579368384,70,60.55,-151.26,12.0,11.41
92,san quintin,70,MX,1579368381,62,30.48,-115.95,59.79,4.63
93,acajutla,0,SV,1579368384,40,13.59,-89.83,87.8,3.36
94,mehamn,0,NO,1579368384,61,71.04,27.85,14.13,10.8
95,anadyr,75,RU,1579368123,67,64.75,177.48,21.2,4.47
96,nikolskoye,75,RU,1579368384,86,59.7,30.79,34.0,11.18
97,vila franca do campo,75,PT,1579368384,93,37.72,-25.43,64.4,5.82
98,ribeira grande,40,PT,1579368384,93,38.52,-28.7,64.4,9.17
99,saint-augustin,0,CA,1579368384,80,51.23,-58.65,-1.14,17.76
100,mar del plata,0,AR,1579368384,35,-38.0,-57.56,91.99,16.11
101,haimen,75,CN,1579368384,72,23.19,116.61,59.0,6.71
102,tucuma,62,BR,1579368384,85,-0.18,-50.05,81.54,7.31
103,saskylakh,96,RU,1579368385,95,71.92,114.08,-8.12,6.42
104,alofi,100,NU,1579368385,82,-19.06,-169.92,81.9,49.75
105,dauphin,90,CA,1579368385,70,51.15,-100.05,1.4,10.29
106,atuona,84,PF,1579368385,77,-9.8,-139.03,81.41,21.88
107,flinders,100,AU,1579368385,88,-34.58,150.86,66.99,4.7
108,kharp,9,RU,1579368385,93,66.8,65.81,-14.33,10.65
109,sainte-rose,90,GP,1579368385,65,16.33,-61.7,80.6,13.87
110,shepsi,0,RU,1579368385,72,44.04,39.15,40.87,17.38
111,querecotillo,99,PE,1579368385,37,-4.84,-80.65,90.84,8.21
112,grindavik,75,IS,1579368385,92,63.84,-22.43,30.2,12.75
113,palu,100,ID,1579368352,98,-0.89,119.87,68.61,2.13
114,ugoofaaru,88,MV,1579368385,79,5.67,73.0,81.93,16.51
115,nanzhang,15,CN,1579368385,50,31.78,111.84,43.95,10.8
116,paradise,75,US,1579368381,36,36.1,-115.15,48.99,4.68
117,croy,27,CH,1579368385,64,46.69,6.48,39.2,4.7
118,ancud,0,CL,1579368385,56,-41.87,-73.82,68.0,8.05
119,poronaysk,35,RU,1579368088,77,49.22,143.12,5.7,3.78
120,riyadh,24,SA,1579368324,37,24.69,46.72,66.2,2.24
121,santa maria del oro,0,MX,1579368385,44,25.93,-105.37,61.59,2.53
122,cape town,20,ZA,1579368094,63,-33.93,18.42,68.0,32.21
123,ponta do sol,0,PT,1579368385,72,32.67,-17.1,64.4,8.05
124,dukat,80,RU,1579368385,97,62.55,155.55,-28.59,2.93
125,east london,75,ZA,1579368144,88,-33.02,27.91,68.0,8.05
126,marawi,18,PH,1579368385,91,8.0,124.29,73.99,5.99
127,port-cartier,20,CA,1579368386,41,50.03,-66.87,3.99,6.93
128,tiksi,100,RU,1579368386,86,71.69,128.87,-1.86,12.28
129,odweyne,0,SO,1579368386,64,9.41,45.06,63.9,7.85
130,puerto leguizamo,62,CO,1579368328,39,-0.19,-74.78,95.47,3.44
131,dum duma,100,IN,1579368386,72,27.57,95.57,64.2,1.54
132,hartselle,90,US,1579368386,93,34.44,-86.94,53.01,13.87
133,port antonio,40,JM,1579368386,43,18.18,-76.46,89.6,14.99
134,bereda,75,ES,1579368386,87,43.27,-7.54,52.0,9.17
135,half moon bay,1,US,1579368386,66,37.46,-122.43,48.2,3.36
136,torbay,75,CA,1579368153,72,47.67,-52.73,14.0,21.7
137,ngunguru,0,NZ,1579368386,89,-35.62,174.5,57.0,3.0
138,bogo,1,PH,1579368386,96,11.05,124.01,75.0,5.23
139,ostrovnoy,14,RU,1579368386,76,68.05,39.51,3.85,3.94
140,dunedin,88,NZ,1579368386,93,-45.87,170.5,57.0,5.08
141,inirida,18,CO,1579368386,43,3.87,-67.92,95.05,3.15
142,lorengau,23,PG,1579368386,79,-2.02,147.27,83.77,24.18
143,pisco,90,PE,1579368255,30,-13.7,-76.22,72.0,6.93
144,hartlepool,14,GB,1579368386,81,54.69,-1.21,42.01,5.82
145,kendari,78,ID,1579368386,94,-3.94,122.5,74.86,2.1
146,pacific grove,1,US,1579368187,81,36.62,-121.92,46.99,15.28
147,port elizabeth,90,ZA,1579368345,72,-33.92,25.57,66.2,8.05
148,kahului,40,US,1579368165,88,20.89,-156.47,75.99,13.87
149,hithadhoo,91,MV,1579368387,78,-0.6,73.08,83.37,13.22
150,vieux-habitants,90,GP,1579368387,65,16.06,-61.77,80.6,13.87
151,san patricio,75,MX,1579368387,74,19.22,-104.7,86.0,11.23
152,palenque,40,MX,1579368387,83,17.52,-91.97,78.8,8.05
153,bethel,90,US,1579368387,37,41.37,-73.41,28.0,5.82
154,chateauroux,22,FR,1579368387,81,46.82,1.7,45.0,9.17
155,hilo,90,US,1579368387,83,19.73,-155.09,71.6,5.82
156,dehloran,34,IR,1579368387,85,32.69,47.27,53.98,12.5
157,pinega,100,RU,1579368387,90,64.7,43.39,15.98,7.7
158,murakami,97,JP,1579368387,97,38.23,139.48,30.07,2.8
159,hobart,90,AU,1579368117,71,-42.88,147.33,55.4,7.56
160,mecca,77,SA,1579368182,64,21.43,39.83,66.56,4.97
161,nanortalik,100,GL,1579368387,69,60.14,-45.24,29.84,14.76
162,codrington,52,AU,1579368387,91,-38.27,141.97,62.2,11.59
163,ribeira brava,0,PT,1579368387,72,32.65,-17.07,64.4,8.05
164,emerald,0,AU,1579368387,74,-23.53,148.17,78.8,4.85
165,leshukonskoye,95,RU,1579368387,91,64.9,45.76,4.78,3.87
166,loandjili,40,CG,1579368387,83,-4.76,11.86,84.2,8.05
167,namatanai,100,PG,1579368387,75,-3.67,152.43,83.14,11.48
168,mahebourg,40,MU,1579368387,88,-20.41,57.7,81.0,8.05
169,basqal,75,AZ,1579368387,86,40.76,48.39,33.8,5.82
170,castro,64,BR,1579368209,50,-24.79,-50.01,80.19,3.89
171,terrace bay,90,CA,1579368387,92,48.78,-87.1,14.0,12.75
172,ust-kulom,45,RU,1579368387,95,61.69,53.69,2.07,2.28
173,fortuna,90,US,1579368387,46,40.6,-124.16,53.6,12.75
174,bar harbor,1,US,1579368387,51,44.39,-68.2,14.0,6.93
175,borogontsy,90,RU,1579368387,97,62.67,131.17,-22.95,4.47
176,babu,100,CN,1579368388,80,24.42,111.52,45.19,7.96
177,deep river,90,CA,1579368388,65,46.1,-77.5,9.0,10.29
178,arraial do cabo,75,BR,1579368388,61,-22.97,-42.03,80.6,9.17
179,kapaa,90,US,1579368388,60,22.08,-159.32,71.6,19.46
180,lata,75,PT,1579368388,87,40.16,-8.33,59.0,9.17
181,springbok,0,ZA,1579368388,69,-29.66,17.89,59.0,16.8
182,jalu,23,LY,1579368388,63,29.03,21.55,57.49,10.51
183,geraldton,23,AU,1579368388,73,-28.77,114.6,71.6,13.87
184,viedma,0,AR,1579368388,33,-40.81,-63.0,80.82,17.92
185,garissa,54,KE,1579368388,43,-0.45,39.64,82.38,2.17
186,zalesovo,6,RU,1579368388,97,53.99,84.74,-5.8,6.93
187,bengkulu,100,ID,1579368388,93,-3.8,102.27,73.54,3.65
188,kraainem,20,BE,1579368388,75,50.86,4.47,44.01,8.05
189,santiago del estero,86,AR,1579368388,42,-27.8,-64.26,89.76,11.52
190,iqaluit,75,CA,1579368388,69,63.75,-68.51,-9.0,4.94
191,omboue,84,GA,1579368388,90,-1.57,9.26,78.21,3.58
192,mezen,79,RU,1579368388,86,65.85,44.24,6.66,5.32
193,tuktoyaktuk,5,CA,1579368388,64,69.45,-133.04,-4.0,10.29
194,yar-sale,32,RU,1579368388,94,66.83,70.83,-15.74,10.87
195,agirish,16,RU,1579368388,81,61.92,63.02,8.35,11.45
196,axim,37,GH,1579368388,67,4.87,-2.24,82.87,6.06
197,inhambane,40,MZ,1579368388,74,-23.86,35.38,86.0,9.17
198,sinazongwe,94,ZM,1579368388,77,-17.26,27.46,80.17,4.32
199,altamira,75,BR,1579368388,70,-3.2,-52.21,87.8,8.05
200,mountain home,90,US,1579368388,68,43.13,-115.69,35.6,16.11
201,adrar,0,MR,1579368389,18,20.5,-10.07,69.78,12.15
202,saint-pierre,100,RE,1579368389,78,-21.34,55.48,82.4,4.7
203,fairbanks,1,US,1579368389,73,64.84,-147.72,-6.0,2.04
204,novyy urengoy,0,RU,1579368389,95,66.08,76.63,-15.56,7.87
205,wajima,99,JP,1579368389,62,37.4,136.9,42.35,7.81
206,nianzishan,93,CN,1579368389,97,47.52,122.88,-1.46,4.59
207,sibolga,99,ID,1579368389,96,1.74,98.78,71.55,3.36
208,hasaki,75,JP,1579368389,74,35.73,140.83,37.4,12.75
209,santo domingo,75,DO,1579368343,74,18.5,-69.99,80.01,16.11
210,ichinohe,75,JP,1579368389,68,40.21,141.3,30.2,6.93
211,esperance,90,AU,1579368389,72,-33.87,121.9,60.8,8.05
212,itarema,75,BR,1579368389,94,-2.92,-39.92,80.6,12.75
213,upernavik,75,GL,1579368389,61,72.79,-56.15,-9.09,3.47
214,pevek,100,RU,1579368389,90,69.7,170.31,-11.07,1.81
215,kongolo,100,CD,1579368389,97,-5.38,27.0,70.23,4.18
216,aklavik,5,CA,1579368389,74,68.22,-135.01,-0.4,6.93
217,makokou,50,GA,1579368389,78,0.57,12.86,76.05,4.47
218,morag,99,PL,1579368389,84,53.92,19.93,39.0,3.0
219,guanica,40,PR,1579368361,55,17.97,-66.91,84.99,18.34
220,isangel,84,VU,1579368389,83,-19.55,169.27,76.48,14.79
221,sur,0,OM,1579368389,55,22.57,59.53,66.09,7.38
222,polunochnoye,0,RU,1579368389,80,60.87,60.42,5.76,6.33
223,aljezur,99,PT,1579368244,99,37.32,-8.8,63.0,5.99
224,baffa,0,PK,1579368390,48,34.44,73.22,34.65,6.44
225,niteroi,90,BR,1579368390,83,-22.88,-43.1,78.8,4.7
226,hirado,75,JP,1579368390,93,33.36,129.55,48.2,9.17
227,kropotkin,100,RU,1579368390,88,45.44,40.58,33.13,11.83
228,bria,93,CF,1579368390,20,6.54,21.99,81.3,3.85
229,aswan,79,EG,1579368390,29,24.09,32.91,66.2,12.75
230,kulhudhuffushi,87,MV,1579368390,76,6.62,73.07,82.06,13.6
231,bathsheba,40,BB,1579368390,62,13.22,-59.52,86.0,21.92
232,cabo san lucas,5,MX,1579368364,53,22.89,-109.91,78.01,5.3
233,fort nelson,20,CA,1579368390,67,58.81,-122.7,-27.4,2.39
234,cayenne,75,GF,1579368390,66,4.93,-52.33,86.0,10.29
235,dzilam gonzalez,0,MX,1579368390,71,21.28,-88.93,78.53,10.45
236,kargopol,100,RU,1579368390,93,61.51,38.95,29.48,7.92
237,rio gallegos,75,AR,1579368390,32,-51.62,-69.22,68.0,14.99
238,robertsport,0,LR,1579368390,82,6.75,-11.37,82.11,15.79
239,port-gentil,40,GA,1579368390,79,-0.72,8.78,84.2,5.82
240,carovigno,13,IT,1579368390,76,40.71,17.66,55.0,6.93
241,cidreira,1,BR,1579368390,70,-30.18,-50.21,73.6,17.74
242,itoman,75,JP,1579368388,55,26.12,127.67,60.8,13.87
243,kodiak,90,US,1579368390,93,57.79,-152.41,35.6,38.03
244,petropavlovsk-kamchatskiy,40,RU,1579368390,84,53.05,158.65,1.4,8.95
245,bilma,0,NE,1579368390,33,18.69,12.92,60.8,4.92
246,aleppo,70,SY,1579368390,73,36.25,37.5,46.54,3.98
247,daru,39,PG,1579368391,96,-9.08,143.21,76.8,5.53
248,omsukchan,91,RU,1579368391,94,62.53,155.8,-28.62,2.55
249,talnakh,100,RU,1579368391,75,69.49,88.4,-20.2,17.9
250,port blair,0,IN,1579368391,77,11.67,92.75,80.19,12.03
251,paamiut,100,GL,1579368391,54,61.99,-49.67,24.51,16.15
252,katsuura,75,JP,1579368391,60,35.13,140.3,42.8,13.87
253,suntar,98,RU,1579368391,90,62.14,117.63,2.64,5.37
254,harper,12,LR,1579368391,72,4.38,-7.72,82.49,6.82
255,roma,90,US,1579368148,61,43.21,-75.46,21.0,10.29
256,ola,99,RU,1579368391,93,59.58,151.28,-4.22,4.52
257,lasa,40,IT,1579368391,79,46.62,10.7,50.0,8.05
258,namibe,41,AO,1579368391,74,-15.2,12.15,79.05,6.15
259,dauriya,8,RU,1579368391,94,49.93,116.87,-11.52,2.55
260,sitka,40,US,1579368391,39,57.05,-135.33,30.2,6.93
261,bambous virieux,40,MU,1579368391,88,-20.34,57.76,81.0,8.05
262,baiyin,95,CN,1579368391,84,36.56,104.21,19.99,4.47
263,saldanha,23,ZA,1579368391,39,-33.01,17.94,80.6,17.22
264,aksarka,8,RU,1579368391,97,66.56,67.8,-13.95,4.9
265,caravelas,34,BR,1579368391,69,-17.71,-39.25,80.73,9.73
266,muli,48,MV,1579368392,80,2.92,73.57,82.63,15.55
267,monrovia,40,LR,1579368392,66,6.3,-10.8,89.6,12.75
268,sangamner,3,IN,1579368392,47,19.57,74.22,62.49,4.52
269,coahuayana,40,MX,1579368392,51,18.73,-103.68,80.6,11.41
270,guerrero negro,49,MX,1579368392,35,27.98,-114.06,65.25,0.98
271,naron,75,ES,1579368392,87,43.52,-8.15,54.0,9.17
272,mangai,95,CD,1579368392,97,-4.05,19.53,69.35,0.92
273,rundu,66,NA,1579368392,38,-17.93,19.77,89.6,6.93
274,orotukan,96,RU,1579368392,99,62.27,151.7,-24.54,1.23
275,carnarvon,16,AU,1579368392,88,-24.87,113.63,77.0,19.46
276,pangai,100,TO,1579368392,83,-19.8,-174.35,80.92,21.54
277,hovd,9,MN,1579368392,58,48.01,91.64,4.23,4.72
278,diego de almagro,51,CL,1579368392,23,-26.37,-70.05,88.23,17.27
279,pangnirtung,20,CA,1579368392,67,66.15,-65.71,-22.0,1.7
